code_postal;code_insee;nom_commune;libelle_acheminement
01000;01053;Bourg-en-Bresse;BOURG-EN-BRESSE
01000;01344;Saint-Denis-lès-Bourg;SAINT-DENIS-LES-BOURG
01090;01165;Francheleins;FRANCHELEINS
01090;01169;Genouilleux;GENOUILLEUX
01090;01183;Guéreins;GUEREINS
01090;01225;Lurcy;LURCY
01090;01258;Montceaux;MONTCEAUX
01090;01263;Montmerle-sur-Saône;MONTMERLE-SUR-SAONE
01100;01011;Apremont;APREMONT
01100;01014;Arbent;ARBENT
01100;01031;Bellignat;BELLIGNAT
01100;01181;Groissiat;GROISSIAT
01100;01171;Géovreisset;GEOVREISSET
01100;01237;Martignat;MARTIGNAT
01100;01283;Oyonnax;OYONNAX
01110;01012;Aranc;ARANC
01110;01060;Brénod;BRENOD
01110;01080;Champdor-Corcelles;CHAMPDOR-CORCELLES
01110;01121;Corlier;CORLIER
01110;01185;Plateau d'Hauteville;PLATEAU D'HAUTEVILLE
01110;01311;Prémillieu;PREMILLIEU
01120;01142;Dagneux;DAGNEUX
01120;01049;La Boisse;LA BOISSE
01120;01262;Montluel;MONTLUEL
01120;01276;Niévroz;NIEVROZ
01120;01297;Pizay;PIZAY
01120;01342;Sainte-Croix;SAINTE-CROIX
01120;01418;Thil;THIL
01130;01035;Belleydoux;BELLEYDOUX
01130;01087;Charix;CHARIX
01130;01174;Giron;GIRON
01130;01204;Le Poizat-Lalleyriat;LE POIZAT-LALLEYRIAT
01130;01274;Les Neyrolles;LES NEYROLLES
01130;01269;Nantua;NANTUA
01130;01298;Plagne;PLAGNE
01130;01357;Saint-Germain-de-Joux;ST-GERMAIN-DE-JOUX
01130;01152;Échallon;ECHALLON
01140;01167;Garnerans;GARNERANS
01140;01188;Illiat;ILLIAT
01140;01252;Mogneneins;MOGNENEINS
01140;01295;Peyzieux-sur-Saône;PEYZIEUX-SUR-SAONE
01140;01348;Saint-Didier-sur-Chalaronne;SAINT-DIDIER-SUR-CHALARONNE
01140;01351;Saint-Étienne-sur-Chalaronne;ST-ETIENNE-SUR-CHALARONNE
01140;01420;Thoissey;THOISSEY
01140;01428;Valeins;VALEINS
01150;01047;Blyes;BLYES
01150;01099;Chazey-sur-Ain;CHAZEY-SUR-AIN
